ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains,baverage,numgeeklists,numwanting,numcomments,siteviews,numplays,numplays_month,boardgamecategory_cnt,boardgamemechanic_cnt,boardgamefamily_cnt
193738,Great Western Trail,2016,2,4,150,12,29457.0,8.3,11.0,3.71,35804,"Deck Bag and Pool Building, Hand Management, Ownership, Point to Point Movement, Rondel, Set Collection, Track Movement, Variable Set-up",Strategy Games,8.1278,3691.0,1772.0,4117.0,2564130.0,99573.0,34.0,3.0,8.0,8
115746,War of the Ring: Second Edition,2012,2,4,180,13,13725.0,8.49,12.0,4.14,22281,"Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Play Conflict Resolution, Deck Bag and Pool Building, Dice Rolling, Hand Management, Hidden Movement, Movement Points, Simulation, Team-Based Game","Thematic Games, Wargames",8.11872,2051.0,1283.0,2635.0,2540193.0,21870.0,3.0,7.0,10.0,5
162886,Spirit Island,2017,1,4,120,13,25722.0,8.35,13.0,4.01,38254,"Action Retrieval, Area Majority / Influence, Campaign / Battle Card Driven, Cooperative Game, Events, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers",Strategy Games,8.12149,3800.0,1863.0,4656.0,3202285.0,134088.0,105.0,6.0,11.0,6
169786,Scythe,2016,1,5,115,14,57871.0,8.24,14.0,3.41,75640,"Area Majority / Influence, Card Play Conflict Resolution, Force Commitment, Grid Movement, Hexagon Grid, King of the Hill, Movement Points, Moving Multiple Units, Narrative Choice / Paragraph, Solo / Solitaire Game, Tech Trees / Tech Tracks, Variable Player Powers",Strategy Games,8.07649,6036.0,1924.0,9196.0,6163834.0,209552.0,57.0,5.0,11.0,15
84876,The Castles of Burgundy,2011,2,4,90,12,46507.0,8.13,15.0,3.0,63058,"Dice Rolling, Grid Coverage, Hexagon Grid, Set Collection, Tile Placement, Turn Order: Stat-Based, Worker Placement with Dice Workers",Strategy Games,8.00828,7684.0,1119.0,7978.0,3120891.0,218452.0,61.0,3.0,7.0,9
120677,Terra Mystica,2012,2,5,150,12,39284.0,8.14,16.0,3.96,42720,"End Game Bonuses, Hexagon Grid, Income, Increase Value of Unchosen Resources, Network and Route Building, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource",Strategy Games,7.98354,6280.0,1706.0,6028.0,4051558.0,127803.0,60.0,4.0,10.0,8
173346,7 Wonders Duel,2015,2,2,30,10,60302.0,8.11,17.0,2.23,94343,"Card Drafting, Drafting, Set Collection, Sudden Death Ending, Tug of War",Strategy Games,7.98238,4717.0,957.0,8747.0,2158855.0,280027.0,195.0,5.0,5.0,7
124361,Concordia,2013,2,5,100,13,28105.0,8.12,18.0,3.03,32014,"Action Retrieval, Advantage Token, Auction: Dutch, Card Drafting, Deck Bag and Pool Building, Hand Management, Movement Points, Point to Point Movement, Set Collection, Variable Set-up",Strategy Games,7.96379,4408.0,1642.0,4729.0,2057475.0,95833.0,21.0,3.0,10.0,5
28720,Brass: Lancashire,2007,2,4,120,14,19400.0,8.17,19.0,3.86,25429,"Hand Management, Income, Loans, Network and Route Building",Strategy Games,7.96097,5931.0,935.0,4436.0,2195984.0,61514.0,10.0,4.0,7.0,5
266192,Wingspan,2019,1,5,70,10,43165.0,8.11,20.0,2.42,61775,"Card Drafting, Dice Rolling, Drafting, End Game Bonuses, Hand Management, Set Collection, Solo / Solitaire Game","Family Games, Strategy Games",7.94785,3509.0,1610.0,6675.0,2339785.0,281614.0,171.0,3.0,7.0,16
177736,A Feast for Odin,2016,1,4,120,12,17377.0,8.2,21.0,3.84,22794,"Automatic Resource Growth, Dice Rolling, Grid Coverage, Income, Pattern Building, Push Your Luck, Solo / Solitaire Game, Tile Placement, Turn Order: Pass Order, Worker Placement",Strategy Games,7.93581,3167.0,1890.0,2909.0,1902944.0,58794.0,8.0,4.0,10.0,9
205637,Arkham Horror: The Card Game,2016,1,2,120,14,28577.0,8.17,22.0,3.44,50883,"Action Points, Cooperative Game, Deck Construction, Hand Management, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers","Customizable Games, Thematic Games",7.92626,3359.0,781.0,4816.0,5548409.0,179416.0,99.0,6.0,9.0,7
183394,Viticulture Essential Edition,2015,1,6,90,13,29486.0,8.08,23.0,2.91,39747,"Contracts, Hand Management, Solo / Solitaire Game, Turn Order: Auction, Victory Points as a Resource, Worker Placement, Worker Placement, Different Worker Types",Strategy Games,7.90769,2861.0,1551.0,4328.0,1479297.0,97864.0,58.0,2.0,7.0,6
167355,Nemesis,2018,1,5,180,12,12290.0,8.4,24.0,3.35,17574,"Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Hidden Roles, Modular Board, Player Elimination, Semi-Cooperative Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers",Thematic Games,7.9298,951.0,1048.0,2579.0,2138384.0,30414.0,49.0,4.0,11.0,8
164928,Orlans,2014,2,4,90,12,22244.0,8.09,25.0,3.05,27093,"Deck Bag and Pool Building, Point to Point Movement, Turn Order: Progressive",Strategy Games,7.88686,3295.0,1335.0,3495.0,1639871.0,69597.0,13.0,3.0,4.0,7
96848,Mage Knight Board Game,2011,1,4,240,14,27850.0,8.1,26.0,4.31,39421,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Role Playing, Solo / Solitaire Game, Variable Player Powers","Strategy Games, Thematic Games",7.88116,6441.0,1203.0,5700.0,4391009.0,65728.0,5.0,4.0,11.0,5
237182,Root,2018,2,4,90,10,24412.0,8.1,27.0,3.67,37715,"Action Queue, Action Retrieval, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Point to Point Movement, Race, Variable Player Powers","Strategy Games, Wargames",7.88229,2352.0,1729.0,4226.0,3040526.0,82159.0,54.0,3.0,10.0,14
3076,Puerto Rico,2002,3,5,150,12,63128.0,7.99,28.0,3.28,73413,"Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive, Variable Phase Order",Strategy Games,7.85346,13832.0,1003.0,12077.0,3879524.0,172791.0,19.0,3.0,7.0,7
175914,Food Chain Magnate,2015,2,5,240,14,13863.0,8.14,29.0,4.2,16413,"Card Drafting, Delayed Purchase, Income, Market, Modular Board, Network and Route Building, Simultaneous Action Selection",Strategy Games,7.83815,2552.0,1623.0,2575.0,1787791.0,35950.0,10.0,2.0,7.0,3
102794,Caverna: The Cave Farmers,2013,1,7,210,12,28123.0,8.02,30.0,3.79,35475,"Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Tile Placement, Turn Order: Claim Action, Worker Placement",Strategy Games,7.83848,4350.0,1774.0,4680.0,2392451.0,63173.0,9.0,4.0,6.0,9
31260,Agricola,2007,1,5,150,12,63498.0,7.94,31.0,3.64,75679,"Advantage Token, Automatic Resource Growth, Card Drafting, Enclosure, Hand Management, Increase Value of Unchosen Resources, Solo / Solitaire Game, Turn Order: Claim Action, Variable Player Powers, Worker Placement",Strategy Games,7.82321,14384.0,1149.0,12812.0,4849728.0,246510.0,12.0,3.0,10.0,11
170216,Blood Rage,2015,2,4,90,14,33940.0,8.0,32.0,2.88,40664,"Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",Strategy Games,7.82018,3388.0,1535.0,5353.0,2892535.0,70329.0,27.0,4.0,7.0,8
205059,Mansions of Madness: Second Edition,2016,1,5,180,14,25116.0,8.06,33.0,2.69,39007,"Area Movement, Cooperative Game, Dice Rolling, Hand Management, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers",Thematic Games,7.80884,2237.0,1188.0,3631.0,2797247.0,65225.0,15.0,8.0,12.0,10
180263,The 7th Continent,2017,1,4,1000,14,16868.0,8.15,34.0,2.87,30488,"Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers",Thematic Games,7.78397,2554.0,1233.0,3851.0,3980079.0,58189.0,13.0,4.0,9.0,7
221107,Pandemic Legacy: Season 2,2017,2,4,60,14,12100.0,8.15,35.0,3.25,24373,"Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Strategy Games, Thematic Games",7.80558,1367.0,328.0,2039.0,987336.0,97824.0,8.0,3.0,8.0,6
199792,Everdell,2018,1,4,80,13,19552.0,8.08,36.0,2.81,29225,"Card Drafting, End Game Bonuses, Hand Management, Income, Solo / Solitaire Game, Variable Set-up, Worker Placement","Family Games, Strategy Games",7.85645,1940.0,1571.0,3454.0,2000402.0,87553.0,71.0,4.0,7.0,22
276025,Maracaibo,2019,1,4,120,12,7645.0,8.29,37.0,3.87,12042,"Contracts, End Game Bonuses, Events, Hand Management, Income, Movement Points, Narrative Choice / Paragraph, Point to Point Movement, Race, Rondel, Scenario / Mission / Campaign Game, Set Collection, Solo / Solitaire Game, Stock Holding, Sudden Death Ending, Tech Trees / Tech Tracks, Track Movement, Variable Set-up",Strategy Games,7.78919,1090.0,948.0,1419.0,1033866.0,29688.0,23.0,3.0,16.0,9
55690,Kingdom Death: Monster,2015,1,4,180,17,7553.0,8.66,38.0,4.25,10047,"Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling",Thematic Games,7.75221,1476.0,747.0,1819.0,4466527.0,36530.0,19.0,6.0,6.0,5
2651,Power Grid,2004,2,6,120,12,56214.0,7.86,39.0,3.27,66489,"Auction/Bidding, Auction: Turn Order Until Pass, Catch the Leader, Income, Market, Network and Route Building, Turn Order: Stat-Based",Strategy Games,7.74886,12047.0,1371.0,10432.0,3277869.0,132835.0,14.0,2.0,7.0,5
126163,Tzolk'in: The Mayan Calendar,2012,2,4,90,13,30790.0,7.9,40.0,3.67,35520,"Bias, End Game Bonuses, Turn Order: Claim Action, Worker Placement",Strategy Games,7.75125,4920.0,1482.0,4746.0,1762524.0,91720.0,54.0,5.0,4.0,8
284083,The Crew: The Quest for Planet Nine,2019,2,5,20,10,15027.0,8.02,41.0,1.99,31356,"Communication Limits, Cooperative Game, Hand Management, Scenario / Mission / Campaign Game, Trick-taking","Family Games, Strategy Games",7.76811,1371.0,444.0,2597.0,787868.0,295308.0,380.0,3.0,5.0,5
209010,Mechs vs. Minions,2016,2,4,120,14,14056.0,8.05,42.0,2.41,20196,"Action Queue, Bias, Card Drafting, Cooperative Game, Dice Rolling, Modular Board, Programmed Movement, Role Playing, Variable Player Powers","Strategy Games, Thematic Games",7.73501,1716.0,1066.0,2302.0,1771335.0,51967.0,2.0,4.0,10.0,3
247763,Underwater Cities,2018,1,4,150,12,9979.0,8.13,43.0,3.58,13474,"End Game Bonuses, Hand Management, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Worker Placement",Strategy Games,7.75314,1487.0,1039.0,1676.0,900736.0,39262.0,30.0,6.0,7.0,4
164153,Star Wars: Imperial Assault,2014,1,5,120,14,20512.0,8.02,44.0,3.3,35018,"Dice Rolling, Die Icon Resolution, Grid Movement, Line of Sight, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers",Thematic Games,7.73027,3233.0,845.0,3179.0,3363364.0,78138.0,10.0,6.0,10.0,9
216132,Clans of Caledonia,2017,1,4,120,12,14835.0,8.01,45.0,3.46,17634,"Commodity Speculation, Contracts, Market, Modular Board, Network and Route Building, Solo / Solitaire Game, Turn Order: Pass Order, Variable Player Powers, Variable Set-up",Strategy Games,7.72881,2244.0,999.0,2418.0,1313829.0,49822.0,18.0,2.0,9.0,9
185343,Anachrony,2017,1,4,120,15,11585.0,8.1,46.0,4.0,15513,"Dice Rolling, Solo / Solitaire Game, Tug of War, Turn Order: Claim Action, Variable Player Powers, Worker Placement, Worker Placement, Different Worker Types",Strategy Games,7.74335,1807.0,1081.0,2237.0,1449609.0,26679.0,6.0,2.0,7.0,8
35677,Le Havre,2008,1,5,150,12,26494.0,7.87,47.0,3.74,29701,"Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Solo / Solitaire Game, Worker Placement",Strategy Games,7.71458,6020.0,1743.0,5293.0,2138249.0,70182.0,10.0,4.0,7.0,6
192135,Too Many Bones,2017,1,4,120,12,6055.0,8.45,48.0,3.85,9087,"Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move, Role Playing, Roles with Asymmetric Information, Solo / Solitaire Game, Stat Check Resolution, Turn Order: Role Order, Variable Player Powers","Strategy Games, Thematic Games",7.7529,1260.0,1306.0,1400.0,1686624.0,28279.0,24.0,3.0,12.0,3
25613,Through the Ages: A Story of Civilization,2006,2,4,120,12,18004.0,7.93,49.0,4.17,17423,"Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Hand Management",Strategy Games,7.69266,6934.0,614.0,4033.0,2573829.0,68241.0,1.0,2.0,5.0,3
230802,Azul,2017,2,4,45,8,53615.0,7.83,50.0,1.77,79526,"Card Drafting, End Game Bonuses, Pattern Building, Set Collection, Tile Placement, Turn Order: Claim Action","Abstract Games, Family Games",7.6999,3918.0,1082.0,7277.0,2043440.0,341619.0,132.0,3.0,5.0,4
285774,Marvel Champions: The Card Game,2019,1,4,90,14,9616.0,8.2,51.0,2.8,16713,"Cooperative Game, Deck Construction, Hand Management, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers, Variable Set-up",Customizable Games,7.77155,1382.0,522.0,1622.0,1975948.0,164442.0,306.0,3.0,7.0,5
72125,Eclipse,2011,2,6,180,14,26165.0,7.89,52.0,3.7,26710,"Area Majority / Influence, Dice Rolling, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",Strategy Games,7.69682,5642.0,954.0,4810.0,3448545.0,50777.0,1.0,5.0,10.0,5
266507,Clank! Legacy: Acquisitions Incorporated,2019,2,4,120,13,3295.0,8.79,53.0,2.7,7209,"Card Drafting, Deck Bag and Pool Building, Legacy Game, Once-Per-Game Abilities, Point to Point Movement, Push Your Luck",Thematic Games,7.74328,461.0,508.0,712.0,471952.0,24943.0,24.0,3.0,16.0,7
124742,Android: Netrunner,2012,2,2,45,14,26748.0,7.87,54.0,3.38,41315,"Action Points, Deck Construction, Hand Management, Secret Unit Deployment, Take That, Variable Player Powers",Customizable Games,7.67366,7412.0,572.0,5604.0,4437369.0,311988.0,26.0,4.0,6.0,6
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,120,14,34179.0,7.84,55.0,3.78,52934,"Action Queue, Cooperative Game, Dice Rolling, Hexagon Grid, Narrative Choice / Paragraph, Solo / Solitaire Game, Tile Placement, Variable Player Powers, Worker Placement",Thematic Games,7.66423,6341.0,1361.0,6008.0,3745971.0,92297.0,6.0,5.0,14.0,8
171623,The Voyages of Marco Polo,2015,2,4,100,12,20240.0,7.87,56.0,3.19,22601,"Contracts, Dice Rolling, Income, Point to Point Movement, Resource to Move, Set Collection, Turn Order: Claim Action, Variable Player Powers, Variable Set-up, Worker Placement with Dice Workers",Strategy Games,7.65855,2898.0,955.0,3055.0,1367411.0,74469.0,12.0,4.0,9.0,11
125153,The Gallerist,2015,1,4,150,13,9705.0,8.04,57.0,4.28,13057,"Commodity Speculation, Investment, Set Collection, Solo / Solitaire Game, Worker Placement",Strategy Games,7.68084,1974.0,1230.0,1841.0,1023534.0,23808.0,5.0,1.0,5.0,8
251247,Barrage,2019,1,4,120,14,6500.0,8.22,58.0,4.02,8963,"Action Drafting, Contracts, End Game Bonuses, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Variable Player Powers, Variable Set-up, Worker Placement",Strategy Games,7.71637,873.0,752.0,1323.0,872579.0,18901.0,14.0,3.0,10.0,6
28143,Race for the Galaxy,2007,2,4,60,12,46393.0,7.76,59.0,2.98,56264,"Follow, Hand Management, Set Collection, Simultaneous Action Selection, Turn Order: Role Order, Variable Phase Order, Variable Player Powers",Strategy Games,7.65492,12878.0,1101.0,9750.0,3237162.0,540463.0,119.0,5.0,7.0,5
159675,Fields of Arle,2014,1,2,120,13,8111.0,8.09,60.0,3.88,12561,"Automatic Resource Growth, Highest-Lowest Scoring, Income, Solo / Solitaire Game, Worker Placement",Strategy Games,7.65842,2311.0,1069.0,1626.0,963268.0,25005.0,5.0,3.0,5.0,14
68448,7 Wonders,2010,2,7,30,10,84371.0,7.75,61.0,2.33,112410,"Card Drafting, Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers","Family Games, Strategy Games",7.64386,11949.0,1016.0,14131.0,3873746.0,465422.0,131.0,5.0,5.0,4
229853,Teotihuacan: City of Gods,2018,1,4,120,14,12970.0,7.95,62.0,3.77,18082,"Area Movement, Rondel, Set Collection, Solo / Solitaire Game, Tile Placement, Track Movement, Variable Set-up, Worker Placement, Worker Placement with Dice Workers",Strategy Games,7.64852,1942.0,782.0,2053.0,1172536.0,45248.0,28.0,1.0,9.0,6
201808,Clank!: A Deck-Building Adventure,2016,2,4,60,12,27893.0,7.81,63.0,2.21,36265,"Card Drafting, Deck Bag and Pool Building, Drafting, End Game Bonuses, Pick-up and Deliver, Player Elimination, Point to Point Movement, Push Your Luck, Variable Set-up","Family Games, Strategy Games",7.64278,2446.0,1210.0,3987.0,1800750.0,100852.0,38.0,2.0,8.0,10
244521,The Quacks of Quedlinburg,2018,2,4,45,10,22327.0,7.82,64.0,1.94,34053,"Catch the Leader, Deck Bag and Pool Building, Dice Rolling, Push Your Luck, Variable Set-up",Family Games,7.65165,1735.0,1350.0,3505.0,1114882.0,121448.0,53.0,1.0,5.0,4
521,Crokinole,1876,2,4,30,8,12197.0,7.91,65.0,1.25,10561,"Flicking, Team-Based Game",Family Games,7.6502,3992.0,750.0,2826.0,971306.0,140600.0,27.0,1.0,2.0,3
157354,Five Tribes,2014,2,4,80,13,32265.0,7.78,66.0,2.86,41676,"Auction/Bidding, Constrained Bidding, End Game Bonuses, Hidden Victory Points, Mancala, Modular Board, Set Collection, Square Grid, Turn Order: Auction, Variable Player Powers, Variable Set-up, Victory Points as a Resource",Strategy Games,7.63196,4364.0,1375.0,5010.0,1560588.0,91907.0,15.0,4.0,12.0,5
62219,Dominant Species,2010,2,6,240,14,18018.0,7.85,67.0,4.04,19494,"Area Majority / Influence, Card Drafting, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Take That, Tile Placement, Variable Player Powers, Worker Placement",Strategy Games,7.62767,4769.0,1189.0,3988.0,1731508.0,30565.0,0.0,3.0,12.0,6
184267,On Mars,2020,1,4,150,14,5781.0,8.3,68.0,4.63,10719,"Area Majority / Influence, Contracts, Delayed Purchase, Drafting, End Game Bonuses, Hand Management, Hexagon Grid, Income, Movement Points, Moving Multiple Units, Point to Point Movement, Set Collection, Solo / Solitaire Game, Tech Trees / Tech Tracks, Tile Placement, Variable Phase Order, Worker Placement",Strategy Games,7.68255,922.0,763.0,1298.0,1199744.0,16104.0,12.0,6.0,16.0,3
161533,Lisboa,2017,1,4,120,12,6693.0,8.18,69.0,4.57,10212,"Area Majority / Influence, Card Drafting, Hand Management, Solo / Solitaire Game, Tile Placement",Strategy Games,7.66057,1535.0,902.0,1429.0,933804.0,17157.0,5.0,4.0,5.0,8
191189,Aeon's End,2016,1,4,60,14,10899.0,8.02,70.0,2.76,16345,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Delayed Purchase, Hand Management, Solo / Solitaire Game, Variable Phase Order, Variable Player Powers, Variable Set-up",Strategy Games,7.6625,1621.0,686.0,2141.0,1259302.0,61916.0,39.0,4.0,9.0,4
110327,Lords of Waterdeep,2012,2,5,120,12,45929.0,7.75,71.0,2.46,56283,"Card Drafting, Contracts, Hidden Roles, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That, Turn Order: Claim Action, Worker Placement",Strategy Games,7.62149,6202.0,1238.0,7912.0,2175653.0,148059.0,30.0,2.0,9.0,4
266810,Paladins of the West Kingdom,2019,1,4,120,12,8248.0,8.07,72.0,3.67,15192,"Card Drafting, Market, Solo / Solitaire Game, Worker Placement, Worker Placement, Different Worker Types",Strategy Games,7.64618,947.0,614.0,1451.0,700354.0,26364.0,23.0,1.0,5.0,5
122515,Keyflower,2012,2,6,120,12,19003.0,7.8,73.0,3.35,22067,"Auction/Bidding, Auction: Fixed Placement, Constrained Bidding, End Game Bonuses, Hexagon Grid, Memory, Modular Board, Multiple-Lot Auction, Network and Route Building, Ownership, Set Collection, Tile Placement, Turn Order: Auction, Worker Placement, Worker Placement, Different Worker Types",Strategy Games,7.60464,4238.0,1201.0,3477.0,1477506.0,50450.0,4.0,5.0,15.0,11
200680,Agricola (Revised Edition),2016,1,4,120,12,9491.0,8.04,74.0,3.5,13144,"Card Drafting, Enclosure, Hand Management, Worker Placement, Advantage Token, Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Team-Based Game, Turn Order: Claim Action, Variable Player Powers",Strategy Games,7.61445,692.0,356.0,1391.0,624626.0,23550.0,8.0,3.0,11.0,4
256960,Pax Pamir: Second Edition,2019,1,5,120,13,4373.0,8.43,75.0,3.75,8538,"Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Increase Value of Unchosen Resources, Score-and-Reset Game, Simulation, Solo / Solitaire Game",Strategy Games,7.67335,757.0,719.0,1220.0,850235.0,17565.0,13.0,6.0,9.0,7
264220,Tainted Grail: The Fall of Avalon,2019,1,4,120,14,6134.0,8.41,76.0,3.28,12918,"Area Movement, Campaign / Battle Card Driven, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Hand Management, Map Addition, Modular Board, Narrative Choice / Paragraph, Push Your Luck, Role Playing, Solo / Solitaire Game, Storytelling, Variable Player Powers",Thematic Games,7.59619,606.0,534.0,1846.0,1625584.0,29732.0,55.0,7.0,14.0,6
18602,Caylus,2005,2,5,150,12,26796.0,7.77,77.0,3.8,26714,"Ownership, Turn Order: Claim Action, Turn Order: Pass Order, Variable Set-up, Worker Placement",Strategy Games,7.58819,6813.0,891.0,6162.0,2070408.0,63250.0,6.0,3.0,5.0,5
236457,Architects of the West Kingdom,2018,1,5,80,12,16886.0,7.83,78.0,2.77,24145,"Drafting, Solo / Solitaire Game, Variable Player Powers, Worker Placement",Strategy Games,7.58711,1759.0,842.0,2739.0,1132587.0,58685.0,29.0,2.0,4.0,6
93,El Grande,1995,2,5,120,12,23545.0,7.75,79.0,3.05,22629,"Action Drafting, Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection, Turn Order: Progressive, Turn Order: Stat-Based",Strategy Games,7.58104,6715.0,1277.0,5281.0,1522748.0,41797.0,1.0,2.0,10.0,4
12493,Twilight Imperium: Third Edition,2005,3,6,240,14,18302.0,7.84,80.0,4.25,20048,"Action Points, Area-Impulse, Dice Rolling, Follow, Hexagon Grid, Increase Value of Unchosen Resources, Modular Board, Player Elimination, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting","Strategy Games, Thematic Games",7.57183,5539.0,659.0,4337.0,2502095.0,24883.0,0.0,6.0,14.0,6
